site,scenario,year,proposal_id,proposal_label,intervention,support,measure,metric_column,value,notes,last_updated
uni,positive,0,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,35,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,0,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,0,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,0,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,6106,Assumes pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,10,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,10,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,7451,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,10,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,8888,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,positive,10,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,26920,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,positive,10,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,34,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,10,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,1,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,10,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,3570,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,10,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,1,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,10,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,43436,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,10,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,61,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,10,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,7924,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,positive,10,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,3548,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,10,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,8345,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,10,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,0,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,10,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,49270,Assumes pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,30,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,30,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,20110,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,30,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,16527,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,positive,30,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,52214,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,positive,30,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,209,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,30,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,4,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,30,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,5687,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,30,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,40,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,30,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,42045,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,30,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,61,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,30,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,15078,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,positive,30,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,5657,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,30,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,16289,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,30,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,2734,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,30,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,85073,Assumes pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,60,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,60,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,31445,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,60,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,47601,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,positive,60,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,79873,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,positive,60,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,910,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,60,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,10,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,60,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,6508,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,60,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,52,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,60,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,59656,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,60,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,90,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,60,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,20366,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,positive,60,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,6453,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,60,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,52398,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,60,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,0,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,60,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,135972,Assumes pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,90,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,90,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,31295,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,90,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,47307,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,positive,90,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,79649,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,positive,90,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,1346,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,90,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,21,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,90,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,6691,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,90,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,73,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,90,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,59052,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,90,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,90,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,90,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,21493,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,positive,90,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,6630,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,90,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,52496,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,90,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,0,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,90,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,179037,Assumes pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,120,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,120,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,31272,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,120,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,47352,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,positive,120,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,78819,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,positive,120,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,1346,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,120,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,21,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,120,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,6868,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,120,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,79,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,120,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,55873,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,120,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,90,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,120,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,20008,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,positive,120,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,6807,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,120,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,52717,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,120,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,0,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,120,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,208715,Assumes pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,150,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,150,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,38917,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,150,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,47113,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,positive,150,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,105059,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,positive,150,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,1335,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,150,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,21,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,150,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,6826,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,150,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,79,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,150,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,54157,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,150,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,90,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,150,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,18801,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,positive,150,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,6770,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,150,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,53473,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,150,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,0,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,150,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,227472,Assumes pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,180,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,180,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,38757,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,180,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,47614,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,positive,180,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,104661,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,positive,180,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,1335,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,180,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,21,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,180,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,6826,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,180,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,79,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,180,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,55586,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,180,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,90,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,180,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,16570,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,positive,180,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,6770,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,180,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,53312,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,positive,180,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,0,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,positive,180,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,215515,Assumes pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,trending,0,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,trending,0,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,trending,0,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,126,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,trending,0,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,trending,0,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,trending,0,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,trending,0,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,130,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,trending,0,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,0,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,trending,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,trending,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,trending,0,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,8,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,trending,0,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,130,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,trending,0,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,42,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,trending,0,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,0,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,trending,0,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,582,Assumes pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
uni,trending,10,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,trending,10,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,trending,10,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,621,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,trending,10,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,trending,10,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,57,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,trending,10,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,1,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,trending,10,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,130,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,trending,10,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,0,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,trending,10,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,trending,10,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,trending,10,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,107,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,trending,10,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,130,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,trending,10,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,587,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T20:03:13+11:00
uni,trending,10,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,0,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T20:03:13+11:00
