site,scenario,year,proposal_id,proposal_label,intervention,support,measure,metric_column,value,notes,last_updated
trimmed-parade,positive,90,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,38217,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,24316,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,317273,Assumes pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,46403,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,6937,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,55,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,14990,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,368,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,28447,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,14984,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,40157,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,12875,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,351796,Assumes pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,47367,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,6937,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,55,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,14990,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,368,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,21792,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,14984,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,42463,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,12211,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,452422,Assumes pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,48750,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,6937,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,55,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,14990,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,368,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,17319,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,14982,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,43552,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,17795,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,407604,Assumes pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,17,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,0,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,0,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,165,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,0,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,37,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,139285,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,0,Assumes pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,21,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
